ISO_A3,NAM_1,NAM_2,date,ntl_sum,ntl_mean,ntl_median,ntl_max,ntl_q05,ntl_q95,southwest_group,post_padma
BGD,Rangpur,Lalmonirhat,2021-02-01,3289.670654296875,0.5110973715782166,0.5306081692274599,6.115971565246582,0.0546233178437684,1.622363320255614,0,0
BGD,Dhaka,Madaripur,2021-02-01,1429.8765869140625,0.2606676816940307,0.3248317612160414,12.00450611114502,0.0324831761216041,1.121205888979071,1,0
BGD,Khulna,Magura,2021-02-01,713.9405517578125,0.1342798024415969,0.2934630889816267,6.847244739532471,0.0293463088981626,0.7833883147298945,1,0
BGD,Dhaka,Manikganj,2021-02-01,2397.319580078125,0.3611167371273041,0.3781608139712749,18.59539031982422,0.0378160813971274,1.406421025312513,0,0
BGD,Khulna,Meherpur,2021-02-01,1274.5426025390625,0.3460713624954223,0.3913331963410422,5.609175682067871,0.0391333196341042,1.341118156717023,1,0
BGD,Sylhet,Moulvibazar,2021-02-01,3479.62646484375,0.2517884969711303,0.3330170763857152,36.72819137573242,0.0333017076385715,1.0798908632941435,0,0
BGD,Dhaka,Munshiganj,2021-02-01,3725.713623046875,0.8752270340919495,0.5494752277691012,43.38188171386719,0.0558730627741612,3.635435525705944,0,0
BGD,Mymensingh,Mymensingh,2021-02-01,10152.78515625,0.4548629820346832,0.4075316732940241,31.44502639770508,0.0407531673294024,1.5700774200333798,0,0
BGD,Rajshahi,Naogaon,2021-02-01,2078.0224609375,0.117837093770504,0.2804118743087706,7.708544254302978,0.028041187430877,0.7997881060628534,0,0
BGD,Khulna,Narail,2021-02-01,349.79156494140625,0.0702071487903595,0.2708740951298149,4.131272315979004,0.0270874095129814,0.6220976267240849,1,0
BGD,Dhaka,Narayanganj,2021-02-01,15735.1357421875,4.353695392608643,1.8670918386987527,48.88619995117188,0.3875629382270712,17.78504960458089,0,0
BGD,Dhaka,Narsingdi,2021-02-01,5855.62646484375,1.0161553621292114,0.6668002234064377,72.8633041381836,0.0876079014928638,3.3966832812001364,0,0
BGD,Rajshahi,Natore,2021-02-01,2128.023193359375,0.2178381532430648,0.3151573434657694,8.85972785949707,0.0315157343465769,1.0926812142880118,0,0
BGD,Mymensingh,Netrakona,2021-02-01,1444.1943359375,0.0998524129390716,0.2799236541474951,12.147600173950195,0.0279923654147495,0.689099697675685,0,0
BGD,Rangpur,Nilphamari,2021-02-01,2671.236083984375,0.3114996254444122,0.3399499600417779,12.062068939208984,0.0339949960041778,1.3534317128289317,0,0
BGD,Chattogram,Noakhali,2021-02-01,3360.1708984375,0.2701817154884338,0.3506342188174678,12.51156997680664,0.0350634218817467,1.0816855727807395,0,0
BGD,Rajshahi,Pabna,2021-02-01,6372.1357421875,0.5244883894920349,0.2196856654124584,181.82012939453125,0.0219685665412458,1.831407974757445,0,0
BGD,Rangpur,Panchagarh,2021-02-01,2502.171630859375,0.3527840077877044,0.3843995603104581,5.705265522003174,0.0384399560310458,1.5364674440002672,0,0
BGD,Chattogram,Parbattya Chattagram,2021-02-01,562.5714721679688,0.019265403971076,0.2448852699027712,14.886308670043944,0.0244885269902771,0.4652820128152653,0,0
